,date,closing price
0,2011-01-04,1810
1,2011-01-05,1840
2,2011-01-06,1860
3,2011-01-07,1850
4,2011-01-11,1930
5,2011-01-12,1900
6,2011-01-13,1910
7,2011-01-14,1890
8,2011-01-17,1880
9,2011-01-18,1900
10,2011-01-19,1920
11,2011-01-20,1880
12,2011-01-21,1820
13,2011-01-24,1790
14,2011-01-25,1850
15,2011-01-26,1840
16,2011-01-27,1850
17,2011-01-28,1820
18,2011-01-31,1800
19,2011-02-01,1760
20,2011-02-02,1790
21,2011-02-03,1820
22,2011-02-04,1830
23,2011-02-07,1860
24,2011-02-08,1900
25,2011-02-09,1880
26,2011-02-10,1860
27,2011-02-14,1890
28,2011-02-15,1930
29,2011-02-16,1930
30,2011-02-17,1940
31,2011-02-18,1930
32,2011-02-21,1950
33,2011-02-22,1900
34,2011-02-23,1890
35,2011-02-24,1870
36,2011-02-25,1880
37,2011-02-28,1900
38,2011-03-01,1920
39,2011-03-02,1880
40,2011-03-03,1950
41,2011-03-04,2030
42,2011-03-07,2080
43,2011-03-08,2030
44,2011-03-09,2040
45,2011-03-10,1980
46,2011-03-11,1890
47,2011-03-14,1570
48,2011-03-15,1240
49,2011-03-16,1420
50,2011-03-17,1450
51,2011-03-18,1600
52,2011-03-22,1690
53,2011-03-23,1740
54,2011-03-24,1790
55,2011-03-25,1840
56,2011-03-28,1900
57,2011-03-29,1880
58,2011-03-30,1910
59,2011-03-31,1900
60,2011-04-01,1860
61,2011-04-04,1820
62,2011-04-05,1730
63,2011-04-06,1650
64,2011-04-07,1660
65,2011-04-08,1760
66,2011-04-11,1770
67,2011-04-12,1710
68,2011-04-13,1750
69,2011-04-14,1780
70,2011-04-15,1750
71,2011-04-18,1890
72,2011-04-19,1880
73,2011-04-20,1850
74,2011-04-21,1880
75,2011-04-22,1960
76,2011-04-25,1970
77,2011-04-26,1940
78,2011-04-27,1910
79,2011-04-28,1920
80,2011-05-02,2020
81,2011-05-06,2010
82,2011-05-09,2090
83,2011-05-10,2190
84,2011-05-11,2200
85,2011-05-12,2150
86,2011-05-13,2060
87,2011-05-16,1960
88,2011-05-17,1910
89,2011-05-18,1970
90,2011-05-19,1940
91,2011-05-20,1920
92,2011-05-23,1860
93,2011-05-24,1860
94,2011-05-25,1830
95,2011-05-26,1870
96,2011-05-27,1860
97,2011-05-30,1860
98,2011-05-31,1910
99,2011-06-01,1930
100,2011-06-02,1890
101,2011-06-03,1910
102,2011-06-06,1820
103,2011-06-07,1820
104,2011-06-08,1840
105,2011-06-09,1830
106,2011-06-10,1870
107,2011-06-13,1840
108,2011-06-14,1870
109,2011-06-15,1910
110,2011-06-16,1840
111,2011-06-17,1780
112,2011-06-20,1770
113,2011-06-21,1780
114,2011-06-22,1810
115,2011-06-23,1800
116,2011-06-24,1830
117,2011-06-27,1830
118,2011-06-28,1830
119,2011-06-29,1870
120,2011-06-30,1890
121,2011-07-01,1900
122,2011-07-04,1910
123,2011-07-05,1880
124,2011-07-06,1900
125,2011-07-07,1920
126,2011-07-08,1980
127,2011-07-11,2020
128,2011-07-12,1970
129,2011-07-13,1960
130,2011-07-14,1930
131,2011-07-15,1900
132,2011-07-19,1900
133,2011-07-20,1920
134,2011-07-21,1910
135,2011-07-22,1920
136,2011-07-25,1910
137,2011-07-26,1940
138,2011-07-27,1890
139,2011-07-28,1860
140,2011-07-29,1840
141,2011-08-01,1860
142,2011-08-02,1820
143,2011-08-03,1780
144,2011-08-04,1840
145,2011-08-05,1740
146,2011-08-08,1650
147,2011-08-09,1630
148,2011-08-10,1660
149,2011-08-11,1660
150,2011-08-12,1650
151,2011-08-15,1660
152,2011-08-16,1680
153,2011-08-17,1670
154,2011-08-18,1600
155,2011-08-19,1560
156,2011-08-22,1550
157,2011-08-23,1640
158,2011-08-24,1610
159,2011-08-25,1650
160,2011-08-26,1650
161,2011-08-29,1690
162,2011-08-30,1710
163,2011-08-31,1690
164,2011-09-01,1680
165,2011-09-02,1680
166,2011-09-05,1630
167,2011-09-06,1610
168,2011-09-07,1620
169,2011-09-08,1630
170,2011-09-09,1640
171,2011-09-12,1610
172,2011-09-13,1610
173,2011-09-14,1590
174,2011-09-15,1600
175,2011-09-16,1650
176,2011-09-20,1580
177,2011-09-21,1590
178,2011-09-22,1540
179,2011-09-26,1450
180,2011-09-27,1500
