,date,closing price
0,2011-01-04,970
1,2011-01-05,990
2,2011-01-06,1030
3,2011-01-07,1030
4,2011-01-11,1070
5,2011-01-12,1110
6,2011-01-13,1110
7,2011-01-14,1090
8,2011-01-17,1090
9,2011-01-18,1080
10,2011-01-19,1090
11,2011-01-20,1080
12,2011-01-21,1050
13,2011-01-24,1060
14,2011-01-25,1070
15,2011-01-26,1060
16,2011-01-27,1070
17,2011-01-28,1060
18,2011-01-31,1050
19,2011-02-01,1080
20,2011-02-02,1140
21,2011-02-03,1170
22,2011-02-04,1140
23,2011-02-07,1150
24,2011-02-08,1140
25,2011-02-09,1110
26,2011-02-10,1110
27,2011-02-14,1110
28,2011-02-15,1140
29,2011-02-16,1140
30,2011-02-17,1150
31,2011-02-18,1140
32,2011-02-21,1130
33,2011-02-22,1100
34,2011-02-23,1070
35,2011-02-24,1060
36,2011-02-25,1080
37,2011-02-28,1120
38,2011-03-01,1240
39,2011-03-02,1200
40,2011-03-03,1270
41,2011-03-04,1270
42,2011-03-07,1340
43,2011-03-08,1350
44,2011-03-09,1310
45,2011-03-10,1260
46,2011-03-11,1260
47,2011-03-14,1080
48,2011-03-15,790
49,2011-03-16,930
50,2011-03-17,970
51,2011-03-18,1070
52,2011-03-22,1190
53,2011-03-23,1130
54,2011-03-24,1140
55,2011-03-25,1130
56,2011-03-28,1100
57,2011-03-29,1110
58,2011-03-30,1130
59,2011-03-31,1120
60,2011-04-01,1140
61,2011-04-04,1140
62,2011-04-05,1110
63,2011-04-06,1080
64,2011-04-07,1070
65,2011-04-08,1090
66,2011-04-11,1110
67,2011-04-12,1090
68,2011-04-13,1100
69,2011-04-14,1120
70,2011-04-15,1140
71,2011-04-18,1140
72,2011-04-19,1140
73,2011-04-20,1150
74,2011-04-21,1130
75,2011-04-22,1130
76,2011-04-25,1120
77,2011-04-26,1130
78,2011-04-27,1110
79,2011-04-28,1150
80,2011-05-02,1190
81,2011-05-06,1180
82,2011-05-09,1220
83,2011-05-10,1240
84,2011-05-11,1240
85,2011-05-12,1220
86,2011-05-13,1240
87,2011-05-16,1220
88,2011-05-17,1200
89,2011-05-18,1210
90,2011-05-19,1190
91,2011-05-20,1190
92,2011-05-23,1130
93,2011-05-24,1120
94,2011-05-25,1120
95,2011-05-26,1120
96,2011-05-27,1130
97,2011-05-30,1110
98,2011-05-31,1120
99,2011-06-01,1130
100,2011-06-02,1110
101,2011-06-03,1110
102,2011-06-06,1070
103,2011-06-07,1100
104,2011-06-08,1110
105,2011-06-09,1100
106,2011-06-10,1120
107,2011-06-13,1110
108,2011-06-14,1140
109,2011-06-15,1150
110,2011-06-16,1130
111,2011-06-17,1120
112,2011-06-20,1100
113,2011-06-21,1090
114,2011-06-22,1130
115,2011-06-23,1130
116,2011-06-24,1160
117,2011-06-27,1150
118,2011-06-28,1170
119,2011-06-29,1150
120,2011-06-30,1170
121,2011-07-01,1190
122,2011-07-04,1240
123,2011-07-05,1220
124,2011-07-06,1240
125,2011-07-07,1250
126,2011-07-08,1250
127,2011-07-11,1240
128,2011-07-12,1230
129,2011-07-13,1230
130,2011-07-14,1220
131,2011-07-15,1220
132,2011-07-19,1210
133,2011-07-20,1220
134,2011-07-21,1210
135,2011-07-22,1230
136,2011-07-25,1220
137,2011-07-26,1240
138,2011-07-27,1230
139,2011-07-28,1200
140,2011-07-29,1210
141,2011-08-01,1210
142,2011-08-02,1160
143,2011-08-03,1120
144,2011-08-04,1130
145,2011-08-05,1050
146,2011-08-08,1020
147,2011-08-09,980
148,2011-08-10,1040
149,2011-08-11,1020
150,2011-08-12,1030
151,2011-08-15,1060
152,2011-08-16,1060
153,2011-08-17,1050
154,2011-08-18,1020
155,2011-08-19,980
156,2011-08-22,960
157,2011-08-23,980
158,2011-08-24,980
159,2011-08-25,1010
160,2011-08-26,1010
161,2011-08-29,1030
162,2011-08-30,1020
163,2011-08-31,1000
164,2011-09-01,1010
165,2011-09-02,1010
166,2011-09-05,980
167,2011-09-06,960
168,2011-09-07,990
169,2011-09-08,960
170,2011-09-09,950
171,2011-09-12,940
172,2011-09-13,930
173,2011-09-14,920
174,2011-09-15,940
175,2011-09-16,970
176,2011-09-20,940
177,2011-09-21,960
178,2011-09-22,950
179,2011-09-26,890
180,2011-09-27,910
181,2011-09-28,920
182,2011-09-29,930
183,2011-09-30,930
184,2011-10-03,930
185,2011-10-04,900
186,2011-10-05,900
187,2011-10-06,910
188,2011-10-07,910
189,2011-10-11,930
190,2011-10-12,930
191,2011-10-13,950
192,2011-10-14,940
193,2011-10-17,960
194,2011-10-18,930
195,2011-10-19,940
196,2011-10-20,930
197,2011-10-21,930
198,2011-10-24,970
199,2011-10-25,960
200,2011-10-26,970
201,2011-10-27,990
202,2011-10-28,960
203,2011-10-31,940
204,2011-11-01,920
205,2011-11-02,900
206,2011-11-04,900
207,2011-11-07,900
208,2011-11-08,880
209,2011-11-09,880
210,2011-11-10,850
211,2011-11-11,840
212,2011-11-14,860
213,2011-11-15,880
214,2011-11-16,860
215,2011-11-17,850
216,2011-11-18,860
217,2011-11-21,860
218,2011-11-22,860
219,2011-11-24,850
220,2011-11-25,840
221,2011-11-28,850
222,2011-11-29,890
223,2011-11-30,880
224,2011-12-01,910
225,2011-12-02,920
226,2011-12-05,960
227,2011-12-06,910
228,2011-12-07,950
229,2011-12-08,940
230,2011-12-09,920
231,2011-12-12,940
232,2011-12-13,920
233,2011-12-14,930
234,2011-12-15,910
235,2011-12-16,910
236,2011-12-19,910
237,2011-12-20,910
238,2011-12-21,910
239,2011-12-22,940
240,2011-12-26,930
241,2011-12-27,920
242,2011-12-28,950
243,2011-12-29,1010
244,2011-12-30,1020
