,date,closing price
0,2012-01-04,484
1,2012-01-05,481
2,2012-01-06,484
3,2012-01-10,485
4,2012-01-11,490
5,2012-01-12,489
6,2012-01-13,490
7,2012-01-16,485
8,2012-01-17,485
9,2012-01-18,485
10,2012-01-19,480
11,2012-01-20,485
12,2012-01-23,489
13,2012-01-24,489
14,2012-01-25,492
15,2012-01-26,490
16,2012-01-27,486
17,2012-01-30,486
18,2012-01-31,490
19,2012-02-01,492
20,2012-02-02,491
21,2012-02-03,487
22,2012-02-06,493
23,2012-02-07,487
24,2012-02-08,494
25,2012-02-09,494
26,2012-02-10,490
27,2012-02-13,490
28,2012-02-14,498
29,2012-02-15,496
30,2012-02-16,492
31,2012-02-17,496
32,2012-02-20,498
33,2012-02-21,495
34,2012-02-22,500
35,2012-02-23,499
36,2012-02-24,500
37,2012-02-27,499
38,2012-02-28,500
39,2012-02-29,502
40,2012-03-01,500
41,2012-03-02,500
42,2012-03-05,499
43,2012-03-06,500
44,2012-03-07,505
45,2012-03-08,503
46,2012-03-09,505
47,2012-03-12,508
48,2012-03-13,502
49,2012-03-14,504
50,2012-03-15,503
51,2012-03-16,508
52,2012-03-19,507
53,2012-03-21,507
54,2012-03-22,505
55,2012-03-23,506
56,2012-03-26,506
57,2012-03-27,514
58,2012-03-28,502
59,2012-03-29,503
60,2012-03-30,500
61,2012-04-02,502
62,2012-04-03,501
63,2012-04-04,499
64,2012-04-05,500
65,2012-04-06,499
66,2012-04-09,497
67,2012-04-10,500
68,2012-04-11,500
69,2012-04-12,501
70,2012-04-13,501
71,2012-04-16,500
72,2012-04-17,501
73,2012-04-18,501
74,2012-04-19,502
75,2012-04-20,504
76,2012-04-23,503
77,2012-04-24,504
78,2012-04-25,506
79,2012-04-26,506
80,2012-04-27,508
81,2012-05-01,514
82,2012-05-02,509
83,2012-05-07,501
84,2012-05-08,506
85,2012-05-09,503
86,2012-05-10,502
87,2012-05-11,501
88,2012-05-14,506
89,2012-05-15,495
90,2012-05-16,495
91,2012-05-17,494
92,2012-05-18,495
93,2012-05-21,493
94,2012-05-22,492
95,2012-05-23,491
96,2012-05-24,490
97,2012-05-25,490
98,2012-05-28,494
99,2012-05-29,492
100,2012-05-30,492
101,2012-05-31,494
102,2012-06-01,492
103,2012-06-04,500
104,2012-06-05,500
105,2012-06-06,500
106,2012-06-07,507
107,2012-06-08,511
108,2012-06-11,504
109,2012-06-12,509
110,2012-06-13,508
111,2012-06-14,510
112,2012-06-15,502
113,2012-06-18,505
114,2012-06-19,509
115,2012-06-20,503
116,2012-06-21,509
117,2012-06-22,504
118,2012-06-25,513
119,2012-06-26,510
120,2012-06-27,515
121,2012-06-28,516
122,2012-06-29,517
123,2012-07-02,514
124,2012-07-03,518
125,2012-07-04,516
126,2012-07-05,517
127,2012-07-06,516
128,2012-07-09,518
129,2012-07-10,517
130,2012-07-11,516
131,2012-07-12,519
132,2012-07-13,520
133,2012-07-17,516
134,2012-07-18,518
135,2012-07-19,519
136,2012-07-20,517
137,2012-07-23,514
138,2012-07-24,517
139,2012-07-25,511
140,2012-07-26,515
141,2012-07-27,512
142,2012-07-30,518
143,2012-07-31,514
144,2012-08-01,512
145,2012-08-02,512
146,2012-08-03,512
147,2012-08-06,511
148,2012-08-07,514
149,2012-08-08,517
150,2012-08-09,519
151,2012-08-10,520
152,2012-08-13,525
153,2012-08-14,532
154,2012-08-15,532
155,2012-08-16,531
156,2012-08-17,532
157,2012-08-20,526
158,2012-08-21,526
159,2012-08-22,531
160,2012-08-23,526
161,2012-08-24,530
162,2012-08-27,527
163,2012-08-28,527
164,2012-08-29,529
165,2012-08-30,526
166,2012-08-31,526
167,2012-09-03,529
168,2012-09-04,526
169,2012-09-05,526
170,2012-09-06,526
171,2012-09-07,527
172,2012-09-10,527
173,2012-09-11,525
174,2012-09-12,522
175,2012-09-13,525
176,2012-09-14,523
177,2012-09-18,524
178,2012-09-19,527
179,2012-09-20,524
180,2012-09-21,526
181,2012-09-24,530
182,2012-09-25,526
183,2012-09-26,505
184,2012-09-27,504
185,2012-09-28,504
186,2012-10-01,501
187,2012-10-02,497
188,2012-10-03,499
189,2012-10-04,496
190,2012-10-05,497
191,2012-10-09,495
192,2012-10-10,495
193,2012-10-11,506
194,2012-10-12,507
195,2012-10-15,502
196,2012-10-16,505
197,2012-10-17,506
198,2012-10-18,508
199,2012-10-19,509
200,2012-10-22,507
201,2012-10-23,505
202,2012-10-24,501
203,2012-10-25,504
204,2012-10-26,510
205,2012-10-29,508
206,2012-10-30,500
207,2012-10-31,505
208,2012-11-01,503
209,2012-11-02,503
210,2012-11-05,503
211,2012-11-06,502
212,2012-11-07,502
213,2012-11-08,501
214,2012-11-09,503
215,2012-11-12,504
216,2012-11-13,504
217,2012-11-14,504
218,2012-11-15,504
219,2012-11-16,503
220,2012-11-19,504
221,2012-11-20,502
222,2012-11-21,503
223,2012-11-22,507
224,2012-11-26,509
225,2012-11-27,513
226,2012-11-28,510
227,2012-11-29,509
228,2012-11-30,505
229,2012-12-03,509
230,2012-12-04,511
231,2012-12-05,510
232,2012-12-06,511
233,2012-12-07,515
234,2012-12-10,519
235,2012-12-11,518
236,2012-12-12,516
237,2012-12-13,521
238,2012-12-14,527
239,2012-12-17,521
240,2012-12-18,519
241,2012-12-19,525
242,2012-12-20,522
243,2012-12-21,524
244,2012-12-25,525
245,2012-12-26,522
246,2012-12-27,520
247,2012-12-28,524
