,date,start price,highest price,cheapest price,closing price,yield,fixed closing price
0,2016-01-04,2955,3005,2923,2927,24800,2927
1,2016-01-05,2984,2993,2930,2959,14400,2959
2,2016-01-06,2980,3030,2950,2970,15100,2970
3,2016-01-07,2981,2995,2905,2905,16500,2905
4,2016-01-08,2878,2931,2850,2897,20800,2897
5,2016-01-12,2850,2856,2714,2733,20700,2733
6,2016-01-13,2800,2916,2800,2911,16100,2911
7,2016-01-14,2870,2916,2807,2850,21300,2850
8,2016-01-15,2930,2975,2876,2895,20500,2895
9,2016-01-18,2835,2894,2819,2894,8500,2894
10,2016-01-19,2900,2900,2779,2788,17400,2788
11,2016-01-20,2838,2839,2702,2707,13200,2707
12,2016-01-21,2657,2730,2500,2500,33100,2500
13,2016-01-22,2520,2749,2520,2737,25300,2737
14,2016-01-25,2794,2825,2750,2825,11900,2825
15,2016-01-26,2750,2774,2726,2732,11100,2732
16,2016-01-27,2832,2832,2772,2813,7100,2813
17,2016-01-28,2780,2830,2780,2808,5000,2808
18,2016-01-29,2820,2869,2790,2863,12100,2863
19,2016-02-01,2900,2988,2881,2988,19600,2988
20,2016-02-02,2966,2966,2926,2939,7800,2939
21,2016-02-03,2878,2878,2821,2840,9200,2840
22,2016-02-04,2840,2840,2753,2785,9800,2785
23,2016-02-05,2750,2759,2674,2712,9300,2712
24,2016-02-08,2674,2884,2645,2875,19400,2875
25,2016-02-09,2753,2792,2721,2730,13600,2730
26,2016-02-10,2720,2744,2600,2604,11400,2604
27,2016-02-12,2464,2544,2455,2455,23100,2455
28,2016-02-15,2600,2655,2528,2632,15900,2632
29,2016-02-16,2592,2655,2592,2614,8600,2614
30,2016-02-17,2635,2648,2590,2601,6600,2601
31,2016-02-18,2627,2737,2627,2697,11800,2697
32,2016-02-19,2700,2714,2651,2695,6300,2695
33,2016-02-22,2672,2749,2670,2715,5000,2715
34,2016-02-23,2760,2766,2701,2711,6300,2711
35,2016-02-24,2683,2699,2665,2690,10400,2690
36,2016-02-25,2710,2761,2643,2750,10300,2750
37,2016-02-26,2750,2810,2743,2765,5800,2765
38,2016-02-29,2809,2809,2775,2798,10200,2798
39,2016-03-01,2798,2798,2714,2748,5700,2748
40,2016-03-02,2797,2810,2770,2791,6500,2791
41,2016-03-03,2783,2804,2760,2800,5200,2800
42,2016-03-04,2786,2792,2757,2790,4300,2790
43,2016-03-07,2840,2840,2797,2805,6500,2805
44,2016-03-08,2805,2810,2776,2799,4800,2799
45,2016-03-09,2799,2880,2781,2880,6300,2880
46,2016-03-10,2848,2897,2829,2897,8300,2897
47,2016-03-11,2900,2980,2885,2950,16500,2950
48,2016-03-14,2986,2997,2958,2980,9800,2980
49,2016-03-15,2980,3020,2980,3015,15200,3015
50,2016-03-16,3010,3020,2990,3000,4500,3000
51,2016-03-17,2999,3010,2966,2992,6000,2992
52,2016-03-18,2998,2998,2952,2958,7900,2958
53,2016-03-22,2976,2989,2950,2989,5800,2989
54,2016-03-23,2999,3005,2979,2984,5800,2984
55,2016-03-24,2981,2998,2981,2984,5800,2984
56,2016-03-25,2988,2999,2953,2953,9800,2953
57,2016-03-28,2953,2997,2953,2995,10900,2995
58,2016-03-29,3010,3075,3010,3055,22000,3055
59,2016-03-30,3075,3145,3065,3075,17200,3075
60,2016-03-31,3095,3095,3045,3045,8000,3045
61,2016-04-01,3050,3050,2879,2906,30200,2906
62,2016-04-04,2900,2965,2900,2936,9300,2936
63,2016-04-05,2985,2985,2906,2933,7500,2933
64,2016-04-06,2901,2920,2853,2887,10900,2887
65,2016-04-07,2855,2879,2813,2831,9200,2831
66,2016-04-08,2790,2864,2750,2832,14800,2832
67,2016-04-11,2857,2857,2833,2849,6100,2849
68,2016-04-12,2844,2916,2840,2877,4600,2877
69,2016-04-13,2914,2950,2893,2945,8900,2945
70,2016-04-14,2960,2980,2940,2971,10200,2971
71,2016-04-15,2974,2974,2938,2941,11000,2941
72,2016-04-18,2850,2896,2846,2883,7700,2883
73,2016-04-19,2933,2938,2915,2936,5100,2936
74,2016-04-20,2936,2960,2932,2932,9200,2932
75,2016-04-21,2960,2995,2951,2989,14400,2989
76,2016-04-22,2950,2981,2934,2957,11300,2957
77,2016-04-25,2973,2977,2953,2964,5300,2964
