,date,closing price
0,2017-01-04,1535
1,2017-01-05,1490
2,2017-01-06,1479
3,2017-01-10,1512.5
4,2017-01-11,1507.5
5,2017-01-12,1505
6,2017-01-13,1458.5
7,2017-01-16,1415
8,2017-01-17,1397
9,2017-01-18,1397
10,2017-01-19,1413
11,2017-01-20,1423.5
12,2017-01-23,1444.5
13,2017-01-24,1443
14,2017-01-25,1449.5
15,2017-01-26,1478
16,2017-01-27,1515
17,2017-01-30,1517.5
18,2017-01-31,1540
19,2017-02-01,1535
20,2017-02-02,1487.5
21,2017-02-03,1451.5
22,2017-02-06,1424
23,2017-02-07,1395.5
24,2017-02-08,1428.5
25,2017-02-09,1444
26,2017-02-10,1465
27,2017-02-13,1464.5
28,2017-02-14,1560
29,2017-02-15,1530
30,2017-02-16,1530
31,2017-02-17,1507.5
32,2017-02-20,1462
33,2017-02-21,1455
34,2017-02-22,1532.5
35,2017-02-23,1545
36,2017-02-24,1486.5
37,2017-02-27,1436
38,2017-02-28,1439
39,2017-03-01,1441.5
40,2017-03-02,1452.5
41,2017-03-03,1448
42,2017-03-06,1437.5
43,2017-03-07,1459
44,2017-03-08,1502.5
45,2017-03-09,1505
46,2017-03-10,1557.5
47,2017-03-13,1527.5
48,2017-03-14,1517.5
49,2017-03-15,1525
50,2017-03-16,1510
51,2017-03-17,1500
52,2017-03-21,1555
53,2017-03-22,1537.5
54,2017-03-23,1700
55,2017-03-24,1575
56,2017-03-27,1472
57,2017-03-28,1480
58,2017-03-29,1489.5
59,2017-03-30,1535
60,2017-03-31,1459
61,2017-04-03,1489
62,2017-04-04,1450.5
63,2017-04-05,1456.5
64,2017-04-06,1434
65,2017-04-07,1459
66,2017-04-10,1462.5
67,2017-04-11,1470
68,2017-04-12,1455.5
69,2017-04-13,1406.5
70,2017-04-14,1419.5
71,2017-04-17,1424.5
72,2017-04-18,1442.5
73,2017-04-19,1477.5
74,2017-04-20,1490
75,2017-04-21,1502.5
76,2017-04-24,1502.5
77,2017-04-25,1570
78,2017-04-26,1575
79,2017-04-27,1582.5
80,2017-04-28,1590
81,2017-05-01,1552.5
82,2017-05-02,1547.5
83,2017-05-08,1610
84,2017-05-09,1615
85,2017-05-10,1442
86,2017-05-11,1449.5
87,2017-05-12,1449.5
88,2017-05-15,1392.5
89,2017-05-16,1389.5
90,2017-05-17,1370
91,2017-05-18,1335
92,2017-05-19,1320
93,2017-05-22,1352
94,2017-05-23,1352.5
95,2017-05-24,1356
96,2017-05-25,1342
97,2017-05-26,1326
98,2017-05-29,1317.5
99,2017-05-30,1353
100,2017-05-31,1360.5
101,2017-06-01,1387
102,2017-06-02,1420
103,2017-06-05,1424.5
104,2017-06-06,1401
105,2017-06-07,1410.5
106,2017-06-08,1403.5
107,2017-06-09,1397.5
108,2017-06-12,1390
109,2017-06-13,1367
110,2017-06-14,1349
111,2017-06-15,1352.5
112,2017-06-16,1412.5
113,2017-06-19,1464.5
114,2017-06-20,1444.5
115,2017-06-21,1413
116,2017-06-22,1414.5
117,2017-06-23,1405.5
118,2017-06-26,1381
119,2017-06-27,1373
120,2017-06-28,1370.5
121,2017-06-29,1376.5
122,2017-06-30,1383
123,2017-07-03,1341.5
124,2017-07-04,1301
125,2017-07-05,1315
126,2017-07-06,1341.5
127,2017-07-07,1337
128,2017-07-10,1338.5
129,2017-07-11,1339.5
130,2017-07-12,1341
131,2017-07-13,1339
132,2017-07-14,1336
133,2017-07-18,1346.5
134,2017-07-19,1354.5
135,2017-07-20,1352
136,2017-07-21,1388.5
137,2017-07-24,1358.5
138,2017-07-25,1373.5
139,2017-07-26,1384
140,2017-07-27,1413
141,2017-07-28,1403
142,2017-07-31,1386.5
143,2017-08-01,1413
144,2017-08-02,1452
145,2017-08-03,1355.5
146,2017-08-04,1346.5
147,2017-08-07,1428.5
148,2017-08-08,1450
149,2017-08-09,1436.5
150,2017-08-10,1457.5
151,2017-08-14,1402
152,2017-08-15,1375.5
153,2017-08-16,1404.5
154,2017-08-17,1432.5
155,2017-08-18,1401.5
156,2017-08-21,1461
157,2017-08-22,1481
158,2017-08-23,1500
159,2017-08-24,1545
160,2017-08-25,1510
161,2017-08-28,1500
162,2017-08-29,1510
163,2017-08-30,1505
164,2017-08-31,1500
165,2017-09-01,1507.5
166,2017-09-04,1500
167,2017-09-05,1470
168,2017-09-06,1483
169,2017-09-07,1537.5
170,2017-09-08,1527.5
171,2017-09-11,1595
172,2017-09-12,1622.5
173,2017-09-13,1640
174,2017-09-14,1600
175,2017-09-15,1527.5
176,2017-09-19,1522.5
177,2017-09-20,1550
178,2017-09-21,1527.5
179,2017-09-22,1505
180,2017-09-25,1492.5
181,2017-09-26,1486
182,2017-09-27,1517.5
183,2017-09-28,1557.5
184,2017-09-29,1580
185,2017-10-02,1535
186,2017-10-03,1512.5
187,2017-10-04,1520
188,2017-10-05,1542.5
189,2017-10-06,1545
190,2017-10-10,1567.5
191,2017-10-11,1537.5
192,2017-10-12,1517.5
193,2017-10-13,1550
194,2017-10-16,1582.5
195,2017-10-17,1582.5
196,2017-10-18,1555
197,2017-10-19,1557.5
198,2017-10-20,1580
199,2017-10-23,1577.5
200,2017-10-24,1565
201,2017-10-25,1572.5
202,2017-10-26,1580
203,2017-10-27,1587.5
204,2017-10-30,1622.5
205,2017-10-31,1595
206,2017-11-01,1555
207,2017-11-02,1542.5
208,2017-11-06,1605
209,2017-11-07,1555
210,2017-11-08,1557.5
211,2017-11-09,1542.5
212,2017-11-10,1542.5
213,2017-11-13,1552.5
214,2017-11-14,1557.5
215,2017-11-15,1527.5
216,2017-11-16,1512.5
217,2017-11-17,1510
218,2017-11-20,1545
219,2017-11-21,1590
220,2017-11-22,1595
221,2017-11-24,1637.5
222,2017-11-27,1652.5
223,2017-11-28,1660
224,2017-11-29,1675
225,2017-11-30,1670
