,date,closing price
0,2018-07-24,2199
1,2018-07-25,2065
2,2018-07-26,1877
3,2018-07-27,1889
4,2018-07-30,1740
5,2018-07-31,1707
6,2018-08-01,1763
7,2018-08-02,1650
8,2018-08-03,1617
9,2018-08-06,1588
10,2018-08-07,1660
11,2018-08-08,1717
12,2018-08-09,1750
13,2018-08-10,1633
14,2018-08-13,1599
15,2018-08-14,1562
16,2018-08-15,1917
17,2018-08-16,1846
18,2018-08-17,1678
19,2018-08-20,1660
20,2018-08-21,1632
21,2018-08-22,1703
22,2018-08-23,1790
23,2018-08-24,1765
24,2018-08-27,1809
25,2018-08-28,1781
26,2018-08-29,1757
27,2018-08-30,1798
28,2018-08-31,1817
29,2018-09-03,1780
30,2018-09-04,1700
31,2018-09-05,1654
32,2018-09-06,1590
33,2018-09-07,1622
34,2018-09-10,1643
35,2018-09-11,1593
36,2018-09-12,1545
37,2018-09-13,1639
38,2018-09-14,1678
39,2018-09-18,1710
40,2018-09-19,1777
41,2018-09-20,1761
42,2018-09-21,1887
43,2018-09-25,1854
44,2018-09-26,1807
45,2018-09-27,1934
46,2018-09-28,1956
47,2018-10-01,1997
48,2018-10-02,1855
49,2018-10-03,1800
50,2018-10-04,1862
51,2018-10-05,1800
52,2018-10-09,1680
53,2018-10-10,1677
54,2018-10-11,1560
55,2018-10-12,1620
56,2018-10-15,1595
57,2018-10-16,1702
58,2018-10-17,1710
59,2018-10-18,1678
60,2018-10-19,1672
61,2018-10-22,1649
62,2018-10-23,1588
63,2018-10-24,1589
64,2018-10-25,1590
65,2018-10-26,1514
66,2018-10-29,1529
67,2018-10-30,1574
68,2018-10-31,1607
69,2018-11-01,1594
70,2018-11-02,1618
71,2018-11-05,1664
72,2018-11-06,1695
73,2018-11-07,1736
74,2018-11-08,1730
75,2018-11-09,1708
76,2018-11-12,2108
77,2018-11-13,2608
78,2018-11-14,2700
79,2018-11-15,2380
80,2018-11-16,2150
81,2018-11-19,2329
82,2018-11-20,2200
83,2018-11-21,2116
84,2018-11-22,2294
85,2018-11-26,2258
86,2018-11-27,2375
87,2018-11-28,2350
88,2018-11-29,2265
89,2018-11-30,2120
90,2018-12-03,2133
91,2018-12-04,2053
92,2018-12-05,1946
93,2018-12-06,1980
94,2018-12-07,1927
95,2018-12-10,1868
96,2018-12-11,1817
97,2018-12-12,1865
98,2018-12-13,1967
99,2018-12-14,1902
100,2018-12-17,1750
101,2018-12-18,1608
102,2018-12-19,1691
103,2018-12-20,1610
104,2018-12-21,1755
105,2018-12-25,1605
106,2018-12-26,1502
107,2018-12-27,1540
108,2018-12-28,1541
