,date,closing price
0,2018-01-04,1967
1,2018-01-05,1973
2,2018-01-09,1950
3,2018-01-10,1936
4,2018-01-11,1868
5,2018-01-12,1836
6,2018-01-15,1871
7,2018-01-16,1933
8,2018-01-17,1932
9,2018-01-18,1906
10,2018-01-19,1917
11,2018-01-22,1947
12,2018-01-23,1988
13,2018-01-24,2043
14,2018-01-25,1973
15,2018-01-26,2006
16,2018-01-29,1980
17,2018-01-30,1944
18,2018-01-31,1888
19,2018-02-01,1930
20,2018-02-02,1899
21,2018-02-05,1880
22,2018-02-06,1733
23,2018-02-07,1765
24,2018-02-08,1818
25,2018-02-09,1801
26,2018-02-13,1802
27,2018-02-14,1780
28,2018-02-15,1755
29,2018-02-16,1668
30,2018-02-19,1687
31,2018-02-20,1674
32,2018-02-21,1663
33,2018-02-22,1626
34,2018-02-23,1622
35,2018-02-26,1630
36,2018-02-27,1613
37,2018-02-28,1603
38,2018-03-01,1585
39,2018-03-02,1561
40,2018-03-05,1510
41,2018-03-06,1511
42,2018-03-07,1488
43,2018-03-08,1542
44,2018-03-09,1536
45,2018-03-12,1558
46,2018-03-13,1600
47,2018-03-14,1574
48,2018-03-15,1561
49,2018-03-16,1530
50,2018-03-19,1525
51,2018-03-20,1518
52,2018-03-22,1536
53,2018-03-23,1475
54,2018-03-26,1466
55,2018-03-27,1508
56,2018-03-28,1522
57,2018-03-29,1502
58,2018-03-30,1506
59,2018-04-02,1518
60,2018-04-03,1500
61,2018-04-04,1475
62,2018-04-05,1492
63,2018-04-06,1487
64,2018-04-09,1483
65,2018-04-10,1450
66,2018-04-11,1454
67,2018-04-12,1421
68,2018-04-13,1432
69,2018-04-16,1427
70,2018-04-17,1430
71,2018-04-18,1445
72,2018-04-19,1453
73,2018-04-20,1407
74,2018-04-23,1415
75,2018-04-24,1440
76,2018-04-25,1433
77,2018-04-26,1407
78,2018-04-27,1401
79,2018-05-01,1406
80,2018-05-02,1424
81,2018-05-07,1399
82,2018-05-08,1407
83,2018-05-09,1400
84,2018-05-10,1397
85,2018-05-11,1399
86,2018-05-14,1416
87,2018-05-15,1452
88,2018-05-16,1354
89,2018-05-17,1378
90,2018-05-18,1404
91,2018-05-21,1416
92,2018-05-22,1455
93,2018-05-23,1458
94,2018-05-24,1455
95,2018-05-25,1446
96,2018-05-28,1434
97,2018-05-29,1420
98,2018-05-30,1392
99,2018-05-31,1397
100,2018-06-01,1372
101,2018-06-04,1371
102,2018-06-05,1371
103,2018-06-06,1329
104,2018-06-07,1318
105,2018-06-08,1330
106,2018-06-11,1348
107,2018-06-12,1430
108,2018-06-13,1461
109,2018-06-14,1397
110,2018-06-15,1391
111,2018-06-18,1355
112,2018-06-19,1330
113,2018-06-20,1337
114,2018-06-21,1333
115,2018-06-22,1307
116,2018-06-25,1304
117,2018-06-26,1329
118,2018-06-27,1357
119,2018-06-28,1310
120,2018-06-29,1298
121,2018-07-02,1295
122,2018-07-03,1320
123,2018-07-04,1299
124,2018-07-05,1274
125,2018-07-06,1273
126,2018-07-09,1318
127,2018-07-10,1310
128,2018-07-11,1293
129,2018-07-12,1311
130,2018-07-13,1384
131,2018-07-17,1300
132,2018-07-18,1349
133,2018-07-19,1333
134,2018-07-20,1326
135,2018-07-23,1288
136,2018-07-24,1293
137,2018-07-25,1302
138,2018-07-26,1297
139,2018-07-27,1301
140,2018-07-30,1317
141,2018-07-31,1314
142,2018-08-01,1302
143,2018-08-02,1294
144,2018-08-03,1277
145,2018-08-06,1251
146,2018-08-07,1239
147,2018-08-08,1250
148,2018-08-09,1251
149,2018-08-10,1226
150,2018-08-13,1151
151,2018-08-14,1125
152,2018-08-15,960
153,2018-08-16,877
154,2018-08-17,877
155,2018-08-20,874
156,2018-08-21,835
157,2018-08-22,840
158,2018-08-23,837
159,2018-08-24,834
160,2018-08-27,840
161,2018-08-28,882
162,2018-08-29,873
163,2018-08-30,877
164,2018-08-31,875
165,2018-09-03,847
166,2018-09-04,860
167,2018-09-05,839
168,2018-09-06,818
169,2018-09-07,815
170,2018-09-10,814
171,2018-09-11,802
172,2018-09-12,776
173,2018-09-13,798
174,2018-09-14,794
175,2018-09-18,819
176,2018-09-19,820
177,2018-09-20,798
178,2018-09-21,843
179,2018-09-25,836
180,2018-09-26,828
181,2018-09-27,816
182,2018-09-28,897
183,2018-10-01,876
184,2018-10-02,832
185,2018-10-03,827
186,2018-10-04,802
187,2018-10-05,792
188,2018-10-09,773
189,2018-10-10,774
190,2018-10-11,761
191,2018-10-12,786
192,2018-10-15,785
193,2018-10-16,772
194,2018-10-17,768
195,2018-10-18,747
196,2018-10-19,735
197,2018-10-22,747
198,2018-10-23,744
199,2018-10-24,754
200,2018-10-25,717
201,2018-10-26,731
202,2018-10-29,727
203,2018-10-30,758
204,2018-10-31,798
205,2018-11-01,793
206,2018-11-02,806
207,2018-11-05,812
208,2018-11-06,811
209,2018-11-07,822
210,2018-11-08,830
211,2018-11-09,832
212,2018-11-12,833
213,2018-11-13,827
214,2018-11-14,829
215,2018-11-15,855
216,2018-11-16,829
217,2018-11-19,844
218,2018-11-20,832
219,2018-11-21,818
220,2018-11-22,814
221,2018-11-26,811
