,date,closing price
0,2009-01-05,1014
1,2009-01-06,1056
2,2009-01-07,1162
3,2009-01-08,1070
4,2009-01-09,1085
5,2009-01-13,1020
6,2009-01-14,1038
7,2009-01-15,1001
8,2009-01-16,1104
9,2009-01-19,1121
10,2009-01-20,1081
11,2009-01-21,1032
12,2009-01-22,1063
13,2009-01-23,1019
14,2009-01-26,973
15,2009-01-27,1035
16,2009-01-28,1047
17,2009-01-29,1018
18,2009-01-30,990
19,2009-02-02,972
20,2009-02-03,957
21,2009-02-04,1016
22,2009-02-05,1003
23,2009-02-06,1006
24,2009-02-09,1022
25,2009-02-10,1007
26,2009-02-12,1017
27,2009-02-13,1001
28,2009-02-16,1040
29,2009-02-17,1039
30,2009-02-18,1053
31,2009-02-19,1089
32,2009-02-20,1070
33,2009-02-23,1072
34,2009-02-24,1129
35,2009-02-25,1140
36,2009-02-26,1102
37,2009-02-27,1102
38,2009-03-02,1046
39,2009-03-03,1054
40,2009-03-04,1102
41,2009-03-05,1089
42,2009-03-06,1044
43,2009-03-09,1069
44,2009-03-10,1100
45,2009-03-11,1119
46,2009-03-12,1065
47,2009-03-13,1071
48,2009-03-16,1113
49,2009-03-17,1132
50,2009-03-18,1113
51,2009-03-19,1120
52,2009-03-23,1144
53,2009-03-24,1168
54,2009-03-25,1221
55,2009-03-26,1327
56,2009-03-27,1318
57,2009-03-30,1233
58,2009-03-31,1203
59,2009-04-01,1249
60,2009-04-02,1297
61,2009-04-03,1274
62,2009-04-06,1265
63,2009-04-07,1262
64,2009-04-08,1217
65,2009-04-09,1268
66,2009-04-10,1254
67,2009-04-13,1331
68,2009-04-14,1311
69,2009-04-15,1267
70,2009-04-16,1276
71,2009-04-17,1303
72,2009-04-20,1503
73,2009-04-21,1624
74,2009-04-22,1598
75,2009-04-23,1617
76,2009-04-24,1552
77,2009-04-27,1547
78,2009-04-28,1440
79,2009-04-30,1404
80,2009-05-01,1491
81,2009-05-07,1540
82,2009-05-08,1527
83,2009-05-11,1516
84,2009-05-12,1503
85,2009-05-13,1490
86,2009-05-14,1432
87,2009-05-15,1476
88,2009-05-18,1423
89,2009-05-19,1450
90,2009-05-20,1580
91,2009-05-21,1564
92,2009-05-22,1547
93,2009-05-25,1584
94,2009-05-26,1649
95,2009-05-27,1655
96,2009-05-28,1662
97,2009-05-29,1662
98,2009-06-01,1756
99,2009-06-02,1752
100,2009-06-03,1778
101,2009-06-04,1803
102,2009-06-05,1840
103,2009-06-08,1877
104,2009-06-09,1837
105,2009-06-10,1889
106,2009-06-11,1882
107,2009-06-12,1865
108,2009-06-15,1832
109,2009-06-16,1715
110,2009-06-17,1783
111,2009-06-18,1736
112,2009-06-19,1683
113,2009-06-22,1701
114,2009-06-23,1623
115,2009-06-24,1568
116,2009-06-25,1636
117,2009-06-26,1672
118,2009-06-29,1622
119,2009-06-30,1656
120,2009-07-01,1646
121,2009-07-02,1655
122,2009-07-03,1645
123,2009-07-06,1608
124,2009-07-07,1577
125,2009-07-08,1519
126,2009-07-09,1515
127,2009-07-10,1498
128,2009-07-13,1382
129,2009-07-14,1464
130,2009-07-15,1471
131,2009-07-16,1501
132,2009-07-17,1494
133,2009-07-21,1572
134,2009-07-22,1580
135,2009-07-23,1533
136,2009-07-24,1550
137,2009-07-27,1564
138,2009-07-28,1560
139,2009-07-29,1552
140,2009-07-30,1535
141,2009-07-31,1537
142,2009-08-03,1564
143,2009-08-04,1575
144,2009-08-05,1526
145,2009-08-06,1555
146,2009-08-07,1532
147,2009-08-10,1564
148,2009-08-11,1565
149,2009-08-12,1545
150,2009-08-13,1575
151,2009-08-14,1584
152,2009-08-17,1545
153,2009-08-18,1525
154,2009-08-19,1517
155,2009-08-20,1527
156,2009-08-21,1495
157,2009-08-24,1556
158,2009-08-25,1534
159,2009-08-26,1550
160,2009-08-27,1518
161,2009-08-28,1527
162,2009-08-31,1510
163,2009-09-01,1498
164,2009-09-02,1456
165,2009-09-03,1450
166,2009-09-04,1398
167,2009-09-07,1432
168,2009-09-08,1439
169,2009-09-09,1430
170,2009-09-10,1453
171,2009-09-11,1394
172,2009-09-14,1337
173,2009-09-15,1334
174,2009-09-16,1329
175,2009-09-17,1340
176,2009-09-18,1311
177,2009-09-24,1306
178,2009-09-25,1268
179,2009-09-28,1208
180,2009-09-29,1237
