,date,closing price
0,2011-01-04,1018
1,2011-01-05,1014
2,2011-01-06,1020
3,2011-01-07,1020
4,2011-01-11,1015
5,2011-01-12,1004
6,2011-01-13,1008
7,2011-01-14,1001
8,2011-01-17,1002
9,2011-01-18,1006
10,2011-01-19,1019
11,2011-01-20,993
12,2011-01-21,962
13,2011-01-24,983
14,2011-01-25,1012
15,2011-01-26,960
16,2011-01-27,956
17,2011-01-28,946
18,2011-01-31,930
19,2011-02-01,923
20,2011-02-02,926
21,2011-02-03,938
22,2011-02-04,953
23,2011-02-07,974
24,2011-02-08,997
25,2011-02-09,983
26,2011-02-10,986
27,2011-02-14,986
28,2011-02-15,986
29,2011-02-16,985
30,2011-02-17,989
31,2011-02-18,993
32,2011-02-21,998
33,2011-02-22,1002
34,2011-02-23,993
35,2011-02-24,975
36,2011-02-25,988
37,2011-02-28,1008
38,2011-03-01,1007
39,2011-03-02,988
40,2011-03-03,1002
41,2011-03-04,1017
42,2011-03-07,1008
43,2011-03-08,1012
44,2011-03-09,1037
45,2011-03-10,1032
46,2011-03-11,1003
47,2011-03-14,875
48,2011-03-15,778
49,2011-03-16,801
50,2011-03-17,810
51,2011-03-18,857
52,2011-03-22,897
53,2011-03-23,894
54,2011-03-24,890
55,2011-03-25,886
56,2011-03-28,876
57,2011-03-29,879
58,2011-03-30,909
59,2011-03-31,936
60,2011-04-01,906
61,2011-04-04,892
62,2011-04-05,867
63,2011-04-06,858
64,2011-04-07,842
65,2011-04-08,856
66,2011-04-11,863
67,2011-04-12,830
68,2011-04-13,833
69,2011-04-14,852
70,2011-04-15,852
71,2011-04-18,856
72,2011-04-19,844
73,2011-04-20,848
74,2011-04-21,875
75,2011-04-22,901
76,2011-04-25,912
77,2011-04-26,911
78,2011-04-27,901
79,2011-04-28,902
80,2011-05-02,909
81,2011-05-06,895
82,2011-05-09,887
83,2011-05-10,888
84,2011-05-11,882
85,2011-05-12,857
86,2011-05-13,838
87,2011-05-16,836
88,2011-05-17,835
89,2011-05-18,847
90,2011-05-19,844
91,2011-05-20,840
92,2011-05-23,830
93,2011-05-24,847
94,2011-05-25,838
95,2011-05-26,857
96,2011-05-27,858
97,2011-05-30,875
98,2011-05-31,884
99,2011-06-01,889
100,2011-06-02,880
101,2011-06-03,865
102,2011-06-06,851
103,2011-06-07,867
104,2011-06-08,869
105,2011-06-09,853
106,2011-06-10,849
107,2011-06-13,846
108,2011-06-14,850
109,2011-06-15,864
110,2011-06-16,856
111,2011-06-17,870
112,2011-06-20,894
113,2011-06-21,900
114,2011-06-22,914
115,2011-06-23,914
116,2011-06-24,933
117,2011-06-27,922
118,2011-06-28,930
119,2011-06-29,950
120,2011-06-30,941
121,2011-07-01,943
122,2011-07-04,968
123,2011-07-05,955
124,2011-07-06,955
125,2011-07-07,959
126,2011-07-08,950
127,2011-07-11,937
128,2011-07-12,922
129,2011-07-13,921
130,2011-07-14,910
131,2011-07-15,913
132,2011-07-19,913
133,2011-07-20,918
134,2011-07-21,907
135,2011-07-22,915
136,2011-07-25,913
137,2011-07-26,920
138,2011-07-27,944
139,2011-07-28,956
140,2011-07-29,942
141,2011-08-01,950
142,2011-08-02,933
143,2011-08-03,907
144,2011-08-04,905
145,2011-08-05,888
146,2011-08-08,893
147,2011-08-09,915
148,2011-08-10,896
149,2011-08-11,915
150,2011-08-12,909
151,2011-08-15,883
152,2011-08-16,885
153,2011-08-17,884
154,2011-08-18,857
155,2011-08-19,838
156,2011-08-22,804
157,2011-08-23,826
158,2011-08-24,840
159,2011-08-25,818
160,2011-08-26,825
161,2011-08-29,815
162,2011-08-30,842
163,2011-08-31,858
164,2011-09-01,868
165,2011-09-02,844
166,2011-09-05,824
167,2011-09-06,805
168,2011-09-07,835
169,2011-09-08,835
170,2011-09-09,822
171,2011-09-12,803
172,2011-09-13,802
173,2011-09-14,781
174,2011-09-15,788
175,2011-09-16,840
176,2011-09-20,828
177,2011-09-21,834
178,2011-09-22,818
179,2011-09-26,782
180,2011-09-27,799
181,2011-09-28,831
182,2011-09-29,874
183,2011-09-30,843
184,2011-10-03,808
185,2011-10-04,798
186,2011-10-05,768
187,2011-10-06,817
188,2011-10-07,809
189,2011-10-11,776
190,2011-10-12,802
191,2011-10-13,821
192,2011-10-14,789
193,2011-10-17,809
194,2011-10-18,803
195,2011-10-19,794
196,2011-10-20,774
197,2011-10-21,768
198,2011-10-24,784
199,2011-10-25,757
200,2011-10-26,758
201,2011-10-27,769
202,2011-10-28,772
203,2011-10-31,780
204,2011-11-01,762
205,2011-11-02,736
206,2011-11-04,733
207,2011-11-07,726
208,2011-11-08,700
209,2011-11-09,729
210,2011-11-10,708
211,2011-11-11,715
212,2011-11-14,696
213,2011-11-15,695
214,2011-11-16,680
215,2011-11-17,703
216,2011-11-18,688
217,2011-11-21,686
218,2011-11-22,691
219,2011-11-24,687
220,2011-11-25,687
221,2011-11-28,727
222,2011-11-29,741
223,2011-11-30,750
224,2011-12-01,755
225,2011-12-02,760
226,2011-12-05,770
227,2011-12-06,758
228,2011-12-07,750
229,2011-12-08,730
230,2011-12-09,729
231,2011-12-12,730
232,2011-12-13,720
233,2011-12-14,700
234,2011-12-15,681
235,2011-12-16,676
236,2011-12-19,663
237,2011-12-20,664
238,2011-12-21,669
239,2011-12-22,662
240,2011-12-26,665
241,2011-12-27,668
242,2011-12-28,672
243,2011-12-29,665
244,2011-12-30,679
