,date,start price,highest price,cheapest price,closing price,yield,fixed closing price
0,2017-01-04,2317,2419,2303,2419,660400,2419
1,2017-01-05,2419,2420,2390,2404,268900,2404
2,2017-01-06,2355,2384,2351,2365,426300,2365
3,2017-01-10,2367,2404,2363,2383,432200,2383
4,2017-01-11,2400,2401,2379,2388,214100,2388
5,2017-01-12,2400,2417,2380,2403,443200,2403
6,2017-01-13,2418,2448,2404,2416,585900,2416
7,2017-01-16,2351,2362,2245,2265,1098100,2265
8,2017-01-17,2292,2305,2211,2219,684800,2219
9,2017-01-18,2240,2285,2223,2280,795200,2280
10,2017-01-19,2312,2325,2264,2311,768900,2311
11,2017-01-20,2303,2334,2289,2333,710600,2333
12,2017-01-23,2324,2341,2313,2317,345900,2317
13,2017-01-24,2298,2302,2244,2254,681200,2254
14,2017-01-25,2304,2346,2298,2342,487800,2342
15,2017-01-26,2368,2412,2355,2395,639400,2395
16,2017-01-27,2403,2409,2384,2388,303500,2388
17,2017-01-30,2369,2389,2363,2380,304800,2380
18,2017-01-31,2347,2371,2340,2341,322300,2341
19,2017-02-01,2340,2384,2330,2373,418800,2373
20,2017-02-02,2388,2404,2368,2370,591300,2370
21,2017-02-03,2400,2428,2384,2409,470500,2409
22,2017-02-06,2426,2432,2380,2387,228700,2387
23,2017-02-07,2359,2376,2333,2333,458800,2333
24,2017-02-08,2332,2370,2332,2366,201700,2366
25,2017-02-09,2362,2362,2330,2334,255700,2334
26,2017-02-10,2380,2405,2376,2401,332600,2401
27,2017-02-13,2412,2442,2409,2410,293100,2410
28,2017-02-14,2422,2429,2372,2377,270200,2377
29,2017-02-15,2396,2430,2388,2416,291200,2416
30,2017-02-16,2418,2435,2404,2411,215700,2411
31,2017-02-17,2395,2400,2382,2396,193400,2396
32,2017-02-20,2385,2404,2368,2397,191200,2397
33,2017-02-21,2403,2407,2382,2394,140600,2394
34,2017-02-22,2393,2412,2392,2408,185600,2408
35,2017-02-23,2409,2429,2385,2410,300700,2410
36,2017-02-24,2394,2424,2387,2389,251700,2389
37,2017-02-27,2389,2389,2344,2362,244500,2362
38,2017-02-28,2370,2398,2360,2362,325200,2362
39,2017-03-01,2368,2396,2342,2396,227600,2396
40,2017-03-02,2416,2450,2398,2433,564100,2433
41,2017-03-03,2427,2437,2411,2419,257700,2419
42,2017-03-06,2418,2425,2408,2417,100000,2417
