,date,closing price
0,2017-01-04,750.5
1,2017-01-05,747.5
2,2017-01-06,753.5
3,2017-01-10,760
4,2017-01-11,769
5,2017-01-12,761.5
6,2017-01-13,777
7,2017-01-16,761.5
8,2017-01-17,754
9,2017-01-18,751.5
10,2017-01-19,755.5
11,2017-01-20,748
12,2017-01-23,746
13,2017-01-24,743
14,2017-01-25,744.5
15,2017-01-26,753
16,2017-01-27,767.5
17,2017-01-30,777
18,2017-01-31,763
19,2017-02-01,775
20,2017-02-02,753
21,2017-02-03,751
22,2017-02-06,761.5
23,2017-02-07,779
24,2017-02-08,787.5
25,2017-02-09,777.5
26,2017-02-10,783.5
27,2017-02-13,830
28,2017-02-14,821.5
29,2017-02-15,820
30,2017-02-16,813.5
31,2017-02-17,845.5
32,2017-02-20,841.5
33,2017-02-21,852
34,2017-02-22,845
35,2017-02-23,889
36,2017-02-24,894.5
37,2017-02-27,882.5
38,2017-02-28,892.5
39,2017-03-01,888.5
40,2017-03-02,880.5
41,2017-03-03,884
42,2017-03-06,862
43,2017-03-07,862
44,2017-03-08,875
45,2017-03-09,887
46,2017-03-10,906.5
47,2017-03-13,857
48,2017-03-14,864.5
49,2017-03-15,838
50,2017-03-16,831.5
51,2017-03-17,840.5
52,2017-03-21,837
53,2017-03-22,807.5
54,2017-03-23,799.5
55,2017-03-24,799.5
56,2017-03-27,783
57,2017-03-28,785.5
58,2017-03-29,785
59,2017-03-30,780
60,2017-03-31,770.5
61,2017-04-03,764
62,2017-04-04,762.5
63,2017-04-05,769.5
64,2017-04-06,768.5
65,2017-04-07,766.5
66,2017-04-10,761.5
67,2017-04-11,762.5
68,2017-04-12,751.5
69,2017-04-13,734
70,2017-04-14,756.5
71,2017-04-17,748.5
72,2017-04-18,758
73,2017-04-19,767.5
74,2017-04-20,758
75,2017-04-21,770.5
76,2017-04-24,769.5
77,2017-04-25,768.5
78,2017-04-26,785
79,2017-04-27,778
80,2017-04-28,779
81,2017-05-01,795
82,2017-05-02,806
83,2017-05-08,814
84,2017-05-09,810.5
85,2017-05-10,801
86,2017-05-11,801.5
87,2017-05-12,803
88,2017-05-15,793
89,2017-05-16,795
90,2017-05-17,788
91,2017-05-18,770
92,2017-05-19,772.5
93,2017-05-22,783
94,2017-05-23,784
95,2017-05-24,785
96,2017-05-25,822.5
97,2017-05-26,812
98,2017-05-29,824
99,2017-05-30,830
100,2017-05-31,849.5
101,2017-06-01,839
102,2017-06-02,858
103,2017-06-05,857
104,2017-06-06,851.5
105,2017-06-07,851.5
106,2017-06-08,854.5
107,2017-06-09,849
108,2017-06-12,828
109,2017-06-13,815
110,2017-06-14,804
111,2017-06-15,798.5
112,2017-06-16,795.5
113,2017-06-19,789.5
114,2017-06-20,785
115,2017-06-21,785.5
116,2017-06-22,785.5
117,2017-06-23,782
118,2017-06-26,775
119,2017-06-27,782
120,2017-06-28,782
121,2017-06-29,790.5
122,2017-06-30,792.5
123,2017-07-03,794
124,2017-07-04,781.5
125,2017-07-05,765
126,2017-07-06,762.5
127,2017-07-07,750.5
128,2017-07-10,755
129,2017-07-11,756
130,2017-07-12,759
131,2017-07-13,763.5
132,2017-07-14,765.5
133,2017-07-18,760
134,2017-07-19,762.5
135,2017-07-20,826.5
136,2017-07-21,809
137,2017-07-24,801
138,2017-07-25,805
139,2017-07-26,808
140,2017-07-27,785
141,2017-07-28,778.5
142,2017-07-31,769
143,2017-08-01,761
144,2017-08-02,771
145,2017-08-03,776
146,2017-08-04,770.5
147,2017-08-07,775
148,2017-08-08,768.5
149,2017-08-09,763
150,2017-08-10,750.5
151,2017-08-14,743.5
152,2017-08-15,743.5
153,2017-08-16,749.5
154,2017-08-17,754
155,2017-08-18,748.5
156,2017-08-21,742.5
157,2017-08-22,742.5
158,2017-08-23,746.5
159,2017-08-24,744.5
160,2017-08-25,755
161,2017-08-28,755
162,2017-08-29,752
163,2017-08-30,792.5
164,2017-08-31,806.5
165,2017-09-01,807.5
166,2017-09-04,782
167,2017-09-05,756
168,2017-09-06,769.5
169,2017-09-07,773.5
170,2017-09-08,777
171,2017-09-11,790.5
172,2017-09-12,807.5
173,2017-09-13,791.5
174,2017-09-14,678
175,2017-09-15,697.5
176,2017-09-19,718.5
177,2017-09-20,735.5
178,2017-09-21,744
179,2017-09-22,737.5
180,2017-09-25,747
181,2017-09-26,753
182,2017-09-27,753.5
183,2017-09-28,745
184,2017-09-29,753
185,2017-10-02,750.5
186,2017-10-03,753.5
187,2017-10-04,754
188,2017-10-05,770.5
189,2017-10-06,772
190,2017-10-10,763
191,2017-10-11,767
192,2017-10-12,780.5
193,2017-10-13,779.5
194,2017-10-16,785.5
195,2017-10-17,780
196,2017-10-18,783
197,2017-10-19,780
198,2017-10-20,773
199,2017-10-23,770.5
200,2017-10-24,759
201,2017-10-25,762.5
202,2017-10-26,768
203,2017-10-27,773.5
204,2017-10-30,766
205,2017-10-31,762.5
206,2017-11-01,766
207,2017-11-02,763
208,2017-11-06,763.5
209,2017-11-07,758.5
210,2017-11-08,757
211,2017-11-09,757
212,2017-11-10,764
213,2017-11-13,762
214,2017-11-14,762.5
215,2017-11-15,751
216,2017-11-16,752.5
217,2017-11-17,753
218,2017-11-20,754.5
219,2017-11-21,755
220,2017-11-22,756
221,2017-11-24,758.5
222,2017-11-27,762.5
223,2017-11-28,772.5
224,2017-11-29,774.5
225,2017-11-30,775
226,2017-12-01,774
227,2017-12-04,772.5
228,2017-12-05,766
229,2017-12-06,753.5
230,2017-12-07,766.5
231,2017-12-08,770
232,2017-12-11,782.5
233,2017-12-12,789
234,2017-12-13,793
235,2017-12-14,802
236,2017-12-15,772.5
237,2017-12-18,763.5
238,2017-12-19,763
239,2017-12-20,767
240,2017-12-21,768
241,2017-12-22,759
242,2017-12-25,756
243,2017-12-26,753
244,2017-12-27,769.5
245,2017-12-28,784.5
246,2017-12-29,791.5
