,date,closing price
0,2018-01-04,5093.3
1,2018-01-05,5050
2,2018-01-09,4966.7
3,2018-01-10,5003.3
4,2018-01-11,4946.7
5,2018-01-12,4816.7
6,2018-01-15,4803.3
7,2018-01-16,4813.3
8,2018-01-17,4656.7
9,2018-01-18,4560
10,2018-01-19,4560
11,2018-01-22,4733.3
12,2018-01-23,4960
13,2018-01-24,5033.3
14,2018-01-25,5053.3
15,2018-01-26,5010
16,2018-01-29,5050
17,2018-01-30,4906.7
18,2018-01-31,4926.7
19,2018-02-01,5070
20,2018-02-02,5036.7
21,2018-02-05,4883.3
22,2018-02-06,4333.3
23,2018-02-07,4303.3
24,2018-02-08,4376.7
25,2018-02-09,4123.3
26,2018-02-13,4120
27,2018-02-14,4036.7
28,2018-02-15,4853.3
29,2018-02-16,5000
30,2018-02-19,5396.7
31,2018-02-20,5690
32,2018-02-21,6156.7
33,2018-02-22,6100
34,2018-02-23,6000
35,2018-02-26,5910
36,2018-02-27,5923.3
37,2018-02-28,5646.7
38,2018-03-01,5646.7
39,2018-03-02,5660
40,2018-03-05,5596.7
41,2018-03-06,5720
42,2018-03-07,5913.3
43,2018-03-08,5966.7
44,2018-03-09,6000
45,2018-03-12,5820
46,2018-03-13,5923.3
47,2018-03-14,5966.7
48,2018-03-15,5916.7
49,2018-03-16,5963.3
50,2018-03-19,5733.3
51,2018-03-20,5650
52,2018-03-22,5670
53,2018-03-23,5406.7
54,2018-03-26,5433.3
55,2018-03-27,5596.7
56,2018-03-28,5620
57,2018-03-29,5653.3
58,2018-03-30,5506.7
59,2018-04-02,5373.3
60,2018-04-03,5223.3
61,2018-04-04,5173.3
62,2018-04-05,5116.7
63,2018-04-06,5153.3
64,2018-04-09,5353.3
65,2018-04-10,5226.7
66,2018-04-11,5150
67,2018-04-12,5136.7
68,2018-04-13,5043.3
69,2018-04-16,4926.7
70,2018-04-17,4696.7
71,2018-04-18,4910
72,2018-04-19,4993.3
73,2018-04-20,5050
74,2018-04-23,5003.3
75,2018-04-24,5030
76,2018-04-25,5023.3
77,2018-04-26,5066.7
78,2018-04-27,5133.3
79,2018-05-01,5123.3
80,2018-05-02,5183.3
81,2018-05-07,5253.3
82,2018-05-08,5533.3
83,2018-05-09,5523.3
84,2018-05-10,5673.3
85,2018-05-11,5640
86,2018-05-14,5570
87,2018-05-15,5610
88,2018-05-16,5440
89,2018-05-17,5283.3
90,2018-05-18,5383.3
91,2018-05-21,5436.7
92,2018-05-22,5500
93,2018-05-23,5636.7
94,2018-05-24,5746.7
95,2018-05-25,5786.7
96,2018-05-28,5870
97,2018-05-29,5733.3
98,2018-05-30,5630
99,2018-05-31,5823.3
100,2018-06-01,5966.7
101,2018-06-04,6223.3
102,2018-06-05,6503.3
103,2018-06-06,6393.3
104,2018-06-07,7156.7
105,2018-06-08,7310
106,2018-06-11,7296.7
107,2018-06-12,7470
108,2018-06-13,8106.7
109,2018-06-14,8453.3
110,2018-06-15,8933.3
111,2018-06-18,8186.7
112,2018-06-19,8093.3
113,2018-06-20,8630
114,2018-06-21,8326.7
115,2018-06-22,8236.7
116,2018-06-25,8156.7
117,2018-06-26,7733.3
118,2018-06-27,7800
119,2018-06-28,7520
120,2018-06-29,7390
121,2018-07-02,7510
122,2018-07-03,7600
123,2018-07-04,7170
124,2018-07-05,6830
125,2018-07-06,7160
126,2018-07-09,7970
127,2018-07-10,8090
128,2018-07-11,7990
129,2018-07-12,7980
130,2018-07-13,8130
131,2018-07-17,8810
132,2018-07-18,9140
133,2018-07-19,9220
134,2018-07-20,8800
135,2018-07-23,8850
136,2018-07-24,9100
137,2018-07-25,8890
138,2018-07-26,8620
139,2018-07-27,8710
140,2018-07-30,8300
141,2018-07-31,8330
142,2018-08-01,8200
143,2018-08-02,8080
144,2018-08-03,7950
145,2018-08-06,7800
146,2018-08-07,7770
147,2018-08-08,7710
148,2018-08-09,7560
149,2018-08-10,7660
150,2018-08-13,8130
151,2018-08-14,8650
152,2018-08-15,8650
153,2018-08-16,8210
154,2018-08-17,8240
155,2018-08-20,7810
156,2018-08-21,7740
157,2018-08-22,7830
158,2018-08-23,8300
159,2018-08-24,8300
160,2018-08-27,8570
161,2018-08-28,8430
162,2018-08-29,8360
163,2018-08-30,9380
164,2018-08-31,9790
165,2018-09-03,10380
166,2018-09-04,11510
167,2018-09-05,9600
168,2018-09-06,10280
169,2018-09-07,10020
170,2018-09-10,9640
171,2018-09-11,9400
172,2018-09-12,9440
173,2018-09-13,9670
174,2018-09-14,10200
175,2018-09-18,9770
176,2018-09-19,10500
177,2018-09-20,10430
178,2018-09-21,9960
179,2018-09-25,10010
180,2018-09-26,9910
181,2018-09-27,9750
182,2018-09-28,9750
183,2018-10-01,9470
184,2018-10-02,9820
185,2018-10-03,9490
186,2018-10-04,9200
187,2018-10-05,9060
188,2018-10-09,9180
189,2018-10-10,9090
190,2018-10-11,8390
191,2018-10-12,8860
192,2018-10-15,8570
193,2018-10-16,8530
194,2018-10-17,8790
195,2018-10-18,8510
196,2018-10-19,8400
197,2018-10-22,8350
198,2018-10-23,8220
199,2018-10-24,8010
200,2018-10-25,7560
201,2018-10-26,7300
202,2018-10-29,7130
203,2018-10-30,7300
204,2018-10-31,7440
205,2018-11-01,7360
206,2018-11-02,7620
207,2018-11-05,7580
208,2018-11-06,7410
209,2018-11-07,7520
210,2018-11-08,8040
211,2018-11-09,7720
212,2018-11-12,7590
213,2018-11-13,7350
214,2018-11-14,7770
215,2018-11-15,9270
216,2018-11-16,9300
217,2018-11-19,9350
218,2018-11-20,9550
219,2018-11-21,9650
220,2018-11-22,9700
221,2018-11-26,9840
222,2018-11-27,10040
223,2018-11-28,10070
224,2018-11-29,10470
225,2018-11-30,10990
226,2018-12-03,11040
227,2018-12-04,10890
228,2018-12-05,10890
229,2018-12-06,10300
230,2018-12-07,10390
231,2018-12-10,9720
232,2018-12-11,9620
233,2018-12-12,9900
234,2018-12-13,9860
235,2018-12-14,9240
236,2018-12-17,8850
237,2018-12-18,8240
238,2018-12-19,8270
239,2018-12-20,7910
240,2018-12-21,7610
241,2018-12-25,6940
242,2018-12-26,7100
243,2018-12-27,7300
244,2018-12-28,6660
